node_id,r_m,z_m,T_K
556,0.03,0.11,564.6970382
557,0.035,0.11,564.6943521
558,0.04,0.11,564.6907506
559,0.045,0.11,564.687756
560,0.05,0.11,564.6792019
561,0.055,0.11,526.6397338
562,0.06,0.11,492.0770752
563,0.065,0.11,460.5922507
564,0.07,0.11,431.8288045
565,0.075,0.11,405.4747692
566,0.08,0.11,381.2280582
567,0.085,0.11,358.8123978
568,0.09,0.11,337.9614132
569,0.095,0.11,318.4340583
570,0.1,0.11,300.0072483
571,0.105,0.11,300.0040675
572,0.11,0.11,300.0027919
573,0.115,0.11,300.001296
574,0.12,0.11,300
575,0,0.115,564.7035619
576,0.005,0.115,564.7033536
577,0.01,0.115,564.7027296
578,0.015,0.115,564.7016859
579,0.02,0.115,564.7002238
580,0.025,0.115,564.6983323
581,0.03,0.115,564.6960392
582,0.035,0.115,564.6932675
583,0.04,0.115,564.6903106
584,0.045,0.115,564.6864062
585,0.05,0.115,564.6846366
586,0.055,0.115,526.2293508
587,0.06,0.115,491.3489238
588,0.065,0.115,459.662304
589,0.07,0.115,430.8185728
590,0.075,0.115,404.4931229
591,0.08,0.115,380.3611597
592,0.085,0.115,358.122592
593,0.09,0.115,337.4874291
594,0.095,0.115,318.1958904
595,0.1,0.115,300.004792
596,0.105,0.115,300.0040627
597,0.11,0.115,300.0025525
598,0.115,0.115,300.0012753
599,0.12,0.115,300
600,0,0.12,564.7020231
601,0.005,0.12,564.7018305
602,0.01,0.12,564.7012067
603,0.015,0.12,564.7001783
604,0.02,0.12,564.6987148
605,0.025,0.12,564.6968457
606,0.03,0.12,564.6944936
607,0.035,0.12,564.6918215
608,0.04,0.12,564.6882248
609,0.045,0.12,564.6852387
610,0.05,0.12,564.6766851
611,0.055,0.12,525.572953
612,0.06,0.12,490.1933466
613,0.065,0.12,458.2039591
614,0.07,0.12,429.2542773
615,0.075,0.12,402.9905633
616,0.08,0.12,379.0478199
617,0.085,0.12,357.0857337
618,0.09,0.12,336.7796011
619,0.095,0.12,317.8409255
620,0.1,0.12,300.0068841
621,0.105,0.12,300.003868
622,0.11,0.12,300.0026559
623,0.115,0.12,300.0012334
624,0.12,0.12,300
625,0,0.125,564.7000572
626,0.005,0.125,564.6998521
627,0.01,0.125,564.69925
628,0.015,0.125,564.6982284
629,0.02,0.125,564.6967929
630,0.025,0.125,564.694922
631,0.03,0.125,564.6926496
632,0.035,0.125,564.689892
633,0.04,0.125,564.6869487
634,0.045,0.125,564.6830508
635,0.05,0.125,564.6812855
636,0.055,0.125,524.5675381
637,0.06,0.125,488.4447024
638,0.065,0.125,456.0356293
639,0.07,0.125,426.9681387
640,0.075,0.125,400.8319688
641,0.08,0.125,377.1869072
642,0.085,0.125,355.6326143
643,0.09,0.125,335.7946013
644,0.095,0.125,317.3496268
645,0.1,0.125,300.0044775
646,0.105,0.125,300.0037977
647,0.11,0.125,300.0023886
648,0.115,0.125,300.0011939
649,0.12,0.125,300
650,0,0.13,564.6974782
651,0.005,0.13,564.6974307
652,0.01,0.13,564.6967904
653,0.015,0.13,564.6958555
654,0.02,0.13,564.6943887
655,0.025,0.13,564.692594
656,0.03,0.13,564.6902282
657,0.035,0.13,564.6876182
658,0.04,0.13,564.6839992
659,0.045,0.13,564.6810641
660,0.05,0.13,564.6724783
661,0.055,0.13,523.003946
662,0.06,0.13,485.8150877
663,0.065,0.13,452.8561743
664,0.07,0.13,423.7157684
665,0.075,0.13,397.8300928
666,0.08,0.13,374.6489414
667,0.085,0.13,353.6776224
668,0.09,0.13,334.4825358
669,0.095,0.13,316.6982805
670,0.1,0.13,300.0063032
671,0.105,0.13,300.0035544
672,0.11,0.13,300.0024428
673,0.115,0.13,300.001136
674,0.12,0.13,300
675,0,0.135,564.6946618
676,0.005,0.135,564.6944499
677,0.01,0.135,564.6939636
678,0.015,0.135,564.6929932
679,0.02,0.135,564.6916407
680,0.025,0.135,564.6897953
681,0.03,0.135,564.6875764
682,0.035,0.135,564.6848291
683,0.04,0.135,564.6819281
684,0.045,0.135,564.6780313
685,0.05,0.135,564.6762906
686,0.055,0.135,520.547465
687,0.06,0.135,481.7844648
688,0.065,0.135,448.2314678
689,0.07,0.135,419.1484685
690,0.075,0.135,393.7562364
691,0.08,0.135,371.2822099
692,0.085,0.135,351.1277778
693,0.09,0.135,332.7891447
694,0.095,0.135,315.8632478
695,0.1,0.135,300.0040401
696,0.105,0.135,300.0034302
697,0.11,0.135,300.0021632
698,0.115,0.135,300.0010822
699,0.12,0.135,300
700,0,0.14,564.6895775
701,0.005,0.14,564.6911588
702,0.01,0.14,564.6901361
703,0.015,0.14,564.6898991
704,0.02,0.14,564.6880333
705,0.025,0.14,564.6867821
706,0.03,0.14,564.6839748
707,0.035,0.14,564.6818809
708,0.04,0.14,564.67782
709,0.045,0.14,564.6753883
710,0.05,0.14,564.6663652
711,0.055,0.14,516.2001498
712,0.06,0.14,475.5961825
713,0.065,0.14,441.4480828
714,0.07,0.14,412.8837082
715,0.075,0.14,388.3559005
716,0.08,0.14,366.9428186
717,0.085,0.14,347.8970465
718,0.09,0.14,330.6687508
719,0.095,0.14,314.8237494
720,0.1,0.14,300.0055564
721,0.105,0.14,300.0031599
722,0.11,0.14,300.0021762
723,0.115,0.14,300.0010145
724,0.12,0.14,300
725,0,0.145,564.6867112
726,0.005,0.145,564.6864469
727,0.01,0.145,564.6869542
728,0.015,0.145,564.6859262
729,0.02,0.145,564.6849154
730,0.025,0.145,564.6829028
731,0.03,0.145,564.6809451
732,0.035,0.145,564.6780109
733,0.04,0.145,564.6753705
734,0.045,0.145,564.6713325
735,0.05,0.145,564.6698381
736,0.055,0.145,508.5419157
737,0.06,0.145,464.9626231
738,0.065,0.145,431.7317412
739,0.07,0.145,404.4087618
740,0.075,0.145,381.4133508
741,0.08,0.145,361.5068767
742,0.085,0.145,343.9244675
743,0.09,0.145,328.0886854
744,0.095,0.145,313.5669831
